index,x,y,z,xn,yn,zn,error
325,-28.082566,-0.616354,0.365900,-0.936292,-0.349571,0.034010,16.081261
326,-28.456647,0.291060,0.399479,-0.941504,-0.334110,0.044047,5.624824
327,-28.843766,1.132176,0.505245,-0.947649,-0.314795,0.053528,49.467716
328,-29.138891,2.046937,0.487741,-0.952010,-0.301062,0.055130,43.731279
329,-29.428701,2.787628,0.478863,-0.962162,-0.263772,0.068322,49.089992
330,-28.488086,4.155594,1.121244,-0.970693,-0.102198,0.217512,44.459546
331,-30.112545,4.755444,0.310265,-0.969407,-0.191476,0.153578,19.013578
332,-30.085187,5.628911,-0.008702,-0.970031,-0.161232,0.181782,44.423268
333,-30.435221,6.420153,-0.723891,-0.966355,-0.195309,0.167366,73.775932
334,-30.492509,7.108196,-1.144602,-0.969694,-0.153700,0.189921,62.041176
335,-30.430344,7.615839,-1.910304,-0.997008,-0.073232,0.024760,32.889257
336,-30.327572,7.864692,-2.794006,-0.892845,-0.289221,-0.345223,31.880584
337,-30.050255,7.799162,-3.699965,-0.892845,-0.289221,-0.345223,29.858306
338,-29.718631,7.464376,-4.479779,-0.894632,-0.227217,-0.384716,37.498631
339,-29.324976,6.899614,-5.034346,-0.896683,-0.211096,-0.389098,53.618533
340,-28.452434,6.177897,-5.551360,-0.892674,-0.274746,-0.357278,32.903270
341,-28.174089,5.292336,-5.690235,-0.892674,-0.274746,-0.357278,3.890080
342,-27.983175,4.501714,-5.888677,-0.888551,-0.254464,-0.381739,24.969333
343,-27.877113,4.012823,-6.027919,-0.893442,-0.301167,-0.333255,22.529344
344,-27.557998,2.502190,-5.672683,-0.886487,-0.311250,-0.342440,25.697374
345,-27.363296,1.626890,-5.629316,-0.890297,-0.307583,-0.335803,32.016216
346,-27.115863,0.689550,-5.495462,-0.897881,-0.289050,-0.332054,29.453033
347,-26.787312,-0.218414,-5.381968,-0.900089,-0.283814,-0.330590,44.148113
348,-26.523772,-1.162641,-5.257092,-0.899600,-0.290055,-0.326479,48.284691
349,-26.285169,-2.094783,-5.080440,-0.899315,-0.308957,-0.309481,35.121596
350,-25.956591,-3.047543,-4.937778,-0.895742,-0.338327,-0.288411,43.198268
351,-25.703937,-3.985474,-4.714375,-0.895227,-0.356166,-0.267795,33.802691
352,-25.382674,-4.895362,-4.565929,-0.900616,-0.364395,-0.236868,30.461343
353,-25.114304,-5.840632,-4.365026,-0.909270,-0.375179,-0.180194,34.953132
