index,x,y,z,xn,yn,zn,error
291,-5.636303,-31.823943,1.678677,-0.374290,-0.845079,0.381770,21.838784
292,-6.566094,-31.461970,1.644037,-0.395818,-0.838340,0.374853,14.999536
293,-7.474331,-31.067659,1.555496,-0.474678,-0.818856,0.322733,15.879752
294,-8.382567,-30.673347,1.466954,-0.488384,-0.807530,0.330721,16.759969
295,-9.290803,-30.279036,1.378413,-0.516895,-0.794252,0.319349,17.640185
296,-9.848369,-29.895080,1.131199,-0.572651,-0.719292,0.393306,7.298867
297,-10.755313,-29.379732,1.088079,-0.543785,-0.764995,0.345081,11.589468
298,-11.537714,-28.803830,1.070163,-0.561132,-0.751346,0.347289,8.088502
299,-12.410050,-28.352028,1.009630,-0.584112,-0.727941,0.359048,64.167719
300,-13.003981,-27.758646,0.923347,-0.606903,-0.699773,0.376810,41.795359
301,-13.737099,-27.191784,0.816498,-0.639342,-0.637439,0.430016,2.123889
302,-14.506875,-26.460169,0.695043,-0.673558,-0.614507,0.410731,44.237205
303,-15.332562,-25.718819,0.528617,-0.753310,-0.593709,0.282902,26.428847
304,-15.867841,-24.974271,0.472365,-0.793480,-0.562286,0.232860,21.030531
305,-16.429222,-24.131524,0.418460,-0.816366,-0.543752,0.194632,18.340864
306,-16.986559,-23.303014,0.349336,-0.828164,-0.533646,0.171364,23.669217
307,-17.515865,-22.519733,0.237061,-0.851550,-0.505172,0.140229,13.908484
308,-18.022966,-21.663960,0.172629,-0.867089,-0.483644,0.119352,20.225960
309,-18.492275,-20.820694,0.129562,-0.878455,-0.471611,0.076814,4.642003
310,-19.035418,-20.056607,0.170563,-0.875489,-0.481247,-0.043811,32.249066
311,-19.355355,-19.200176,0.064641,-0.887236,-0.458364,-0.052100,26.331064
312,-19.830862,-18.308134,0.009126,-0.891239,-0.450010,-0.056427,17.337539
313,-20.232801,-17.435909,-0.009126,-0.894749,-0.440496,-0.073396,10.102598
314,-20.665757,-16.641247,-0.014999,-0.898865,-0.426751,-0.099625,5.614666
315,-21.122331,-15.555156,0.043276,-0.897088,-0.426652,-0.114902,11.647748
316,-21.518418,-14.678621,0.077172,-0.900462,-0.416107,-0.126582,16.316999
317,-22.018531,-13.768403,0.133388,-0.908396,-0.396393,-0.133004,28.348341
318,-22.479128,-12.909910,0.190353,-0.909396,-0.391374,-0.140803,29.279132
319,-22.846046,-11.969428,0.275026,-0.906270,-0.393080,-0.155444,24.014074
320,-23.255023,-11.041595,0.330928,-0.904915,-0.388448,-0.173887,21.499392
321,-23.763550,-10.195617,0.337513,-0.905693,-0.381439,-0.184996,24.460514
322,-24.165841,-9.272875,0.410047,-0.906630,-0.373654,-0.195973,22.695493
323,-24.468145,-8.370514,0.491474,-0.925289,-0.366050,-0.099231,19.603771
324,-24.577815,-7.421754,0.331333,-0.931050,-0.363035,-0.036755,2.173978
325,-24.917817,-6.515887,0.335608,-0.935748,-0.352642,-0.004292,3.250920
326,-26.457382,-5.659974,1.368723,-0.933936,-0.346846,0.086373,97.054186
327,-25.636390,-4.761369,0.402974,-0.947179,-0.319375,0.029174,37.086007
328,-26.857494,-3.809931,1.230143,-0.952849,-0.287947,0.095737,34.891823
329,-26.698627,-3.089521,0.795975,-0.959364,-0.276476,0.056404,39.649149
330,-27.155484,-1.659431,0.828016,-0.968214,-0.202685,0.146565,43.946382
331,-27.345578,-1.076463,0.619198,-0.968214,-0.202685,0.146565,19.341015
332,-27.318083,-0.197044,0.298046,-0.969614,-0.169028,0.176854,46.993995
333,-27.666459,0.600026,-0.419779,-0.965934,-0.202489,0.161149,82.540303
334,-27.727130,1.293981,-0.846330,-0.970180,-0.157683,0.184085,67.588421
335,-27.663814,1.805451,-1.618517,-0.985968,-0.102291,0.131921,36.438247
336,-27.560242,2.055988,-2.508527,-0.971552,-0.074909,-0.224666,36.239311
337,-27.280928,1.989965,-3.420944,-0.851374,-0.240714,-0.466067,33.895684
338,-26.946932,1.652815,-4.206262,-0.857315,-0.211637,-0.469277,41.240001
339,-26.548924,1.083419,-4.763061,-0.859467,-0.191608,-0.473923,59.472059
340,-25.671562,0.357158,-5.280586,-0.864365,-0.229979,-0.447194,33.092639
341,-25.391356,-0.534434,-5.420348,-0.864365,-0.229979,-0.447194,2.030249
342,-25.196027,-1.329429,-5.621093,-0.866821,-0.250760,-0.430977,28.954214
343,-25.083514,-1.823107,-5.758091,-0.866821,-0.250760,-0.430977,25.946121
344,-24.768470,-3.342684,-5.403648,-0.869543,-0.255539,-0.422605,27.091913
345,-24.572688,-4.224000,-5.360025,-0.874482,-0.288666,-0.389811,34.606683
346,-24.326604,-5.168443,-5.224344,-0.887004,-0.285151,-0.363197,29.990203
347,-23.993262,-6.082060,-5.111032,-0.891491,-0.292733,-0.345763,47.841288
348,-23.728174,-7.032837,-4.985279,-0.894231,-0.312335,-0.320622,52.481652
349,-23.488298,-7.971466,-4.807511,-0.894634,-0.323870,-0.307795,37.894914
350,-23.157795,-8.930888,-4.663953,-0.900549,-0.329026,-0.284172,47.178338
351,-22.903747,-9.875369,-4.439061,-0.902580,-0.347926,-0.253568,36.672263
352,-22.580635,-10.791679,-4.289676,-0.903984,-0.359069,-0.232127,32.738010
353,-22.310771,-11.743609,-4.087462,-0.905489,-0.366029,-0.214738,37.079908
354,-21.901434,-12.716450,-3.840608,-0.908609,-0.387258,-0.156399,27.789235
355,-21.559274,-13.611864,-3.748734,-0.904140,-0.399349,-0.151826,22.612718
356,-21.212383,-14.510969,-3.568776,-0.900940,-0.410169,-0.141665,35.845900
357,-20.894739,-15.344310,-3.459348,-0.904351,-0.410058,-0.118333,53.005358
358,-20.496956,-16.491077,-3.338747,-0.900643,-0.421486,-0.105787,41.499903
359,-20.036744,-17.295234,-3.231556,-0.898006,-0.430526,-0.090734,10.976393
360,-19.591344,-18.140435,-3.099052,-0.895681,-0.436611,-0.084417,33.799635
361,-19.196999,-19.039902,-2.961837,-0.908587,-0.417690,-0.002257,29.946789
362,-18.768200,-19.878932,-2.842600,-0.900004,-0.432462,0.054490,35.162396
363,-18.268294,-20.725035,-2.782339,-0.887609,-0.458030,0.048568,41.632909
364,-17.807510,-21.584690,-2.671779,-0.876925,-0.476323,0.064172,54.674353
365,-17.192688,-22.403706,-2.688658,-0.856998,-0.505763,0.098780,14.782959
366,-18.085464,-22.624267,-2.934921,-0.865450,-0.490659,0.101242,5.836623
368,-13.044135,-26.186749,-11.189135,-0.804956,-0.426167,-0.412829,26.551382
369,-14.894154,-25.854346,-1.556312,-0.753310,-0.593709,0.282902,32.845611
370,-14.176486,-26.480660,-1.950392,-0.736878,-0.608208,0.295118,35.998357
371,-14.604325,-26.635098,-3.277998,-0.746831,-0.663333,0.047257,119.396867
372,-12.787066,-27.701707,-2.020154,-0.639473,-0.620642,0.453738,12.997649
373,-14.197552,-27.491561,-4.032954,-0.710783,-0.700616,0.062647,142.405239
374,-15.223550,-27.287482,-3.951414,-0.761585,-0.646559,0.044157,122.436327
375,-16.249547,-27.083403,-3.869874,-0.781498,-0.623078,0.032169,102.467414
376,-17.275545,-26.879324,-3.788335,-0.793425,-0.607306,0.040702,82.498501
381,-14.023656,-27.863138,-11.764537,-0.804956,-0.426167,-0.412829,45.510766
382,-12.865926,-28.286919,-11.447069,-0.804956,-0.426167,-0.412829,31.061348
383,-3.001634,-32.704947,-0.284630,-0.313311,-0.934914,0.166648,61.088073
384,-2.361373,-33.093338,0.205260,-0.310931,-0.934898,0.171138,55.372843
385,-1.721111,-33.481728,0.695150,-0.289103,-0.944151,0.158111,49.657614
386,-1.411167,-33.550141,0.565961,-0.287203,-0.944918,0.156986,51.442988
389,0.692920,-34.033213,-0.012225,-0.185641,-0.980877,0.058453,8.799107
390,0.788630,-35.051839,-0.506279,-0.185641,-0.980877,0.058453,30.057301
391,-11.634044,-23.534042,-12.069075,0.738560,0.476841,0.476605,41.534434
392,-12.313567,-22.856627,-12.207159,0.721775,0.444582,0.530460,27.395796
